Model	mdlname	Par
282	'[y, x^2*y, x^3*y, 1]'	4
283	'[x*y, x^2*y, x^3*y, 1]'	4
284	'[x^2*y^2, x^2*y, x^3*y, 1]'	4
285	'[x^3*y^3, x^2*y, x^3*y, 1]'	4
286	'[x^3, y^3, x*y^2, 1]'	4
287	'[x^3, x^2, x*y^2, 1]'	4
288	'[y^3, x^2, x*y^2, 1]'	4
289	'[x^3, y^2, x*y^2, 1]'	4
290	'[y^3, y^2, x*y^2, 1]'	4
291	'[x^2, y^2, x*y^2, 1]'	4
292	'[x^3, x, x*y^2, 1]'	4
293	'[y^3, x, x*y^2, 1]'	4
294	'[x^2, x, x*y^2, 1]'	4
295	'[y^2, x, x*y^2, 1]'	4
296	'[x^3, y, x*y^2, 1]'	4
297	'[y^3, y, x*y^2, 1]'	4
298	'[x^2, y, x*y^2, 1]'	4
299	'[y^2, y, x*y^2, 1]'	4
300	'[x, y, x*y^2, 1]'	4
301	'[x^3, x*y, x*y^2, 1]'	4
302	'[y^3, x*y, x*y^2, 1]'	4
303	'[x^2, x*y, x*y^2, 1]'	4
304	'[y^2, x*y, x*y^2, 1]'	4
305	'[x, x*y, x*y^2, 1]'	4
306	'[y, x*y, x*y^2, 1]'	4
307	'[x^3, x^2*y^2, x*y^2, 1]'	4
308	'[y^3, x^2*y^2, x*y^2, 1]'	4
309	'[x^2, x^2*y^2, x*y^2, 1]'	4
310	'[y^2, x^2*y^2, x*y^2, 1]'	4
311	'[x, x^2*y^2, x*y^2, 1]'	4
312	'[y, x^2*y^2, x*y^2, 1]'	4
313	'[x*y, x^2*y^2, x*y^2, 1]'	4
314	'[x^3, x^3*y^3, x*y^2, 1]'	4
315	'[y^3, x^3*y^3, x*y^2, 1]'	4
316	'[x^2, x^3*y^3, x*y^2, 1]'	4
317	'[y^2, x^3*y^3, x*y^2, 1]'	4
318	'[x, x^3*y^3, x*y^2, 1]'	4
319	'[y, x^3*y^3, x*y^2, 1]'	4
320	'[x*y, x^3*y^3, x*y^2, 1]'	4
321	'[x^2*y^2, x^3*y^3, x*y^2, 1]'	4
322	'[x^3, x^2*y, x*y^2, 1]'	4
323	'[y^3, x^2*y, x*y^2, 1]'	4
324	'[x^2, x^2*y, x*y^2, 1]'	4
325	'[y^2, x^2*y, x*y^2, 1]'	4
326	'[x, x^2*y, x*y^2, 1]'	4
327	'[y, x^2*y, x*y^2, 1]'	4
328	'[x*y, x^2*y, x*y^2, 1]'	4
329	'[x^2*y^2, x^2*y, x*y^2, 1]'	4
330	'[x^3*y^3, x^2*y, x*y^2, 1]'	4
331	'[x^3, x^3*y, x*y^2, 1]'	4
332	'[y^3, x^3*y, x*y^2, 1]'	4
333	'[x^2, x^3*y, x*y^2, 1]'	4
334	'[y^2, x^3*y, x*y^2, 1]'	4
335	'[x, x^3*y, x*y^2, 1]'	4
336	'[y, x^3*y, x*y^2, 1]'	4
337	'[x*y, x^3*y, x*y^2, 1]'	4
338	'[x^2*y^2, x^3*y, x*y^2, 1]'	4
339	'[x^3*y^3, x^3*y, x*y^2, 1]'	4
340	'[x^2*y, x^3*y, x*y^2, 1]'	4
341	'[x^3, y^3, x*y^3, 1]'	4
342	'[x^3, x^2, x*y^3, 1]'	4
343	'[y^3, x^2, x*y^3, 1]'	4
344	'[x^3, y^2, x*y^3, 1]'	4
345	'[y^3, y^2, x*y^3, 1]'	4
346	'[x^2, y^2, x*y^3, 1]'	4
347	'[x^3, x, x*y^3, 1]'	4
348	'[y^3, x, x*y^3, 1]'	4
349	'[x^2, x, x*y^3, 1]'	4
350	'[y^2, x, x*y^3, 1]'	4
351	'[x^3, y, x*y^3, 1]'	4
352	'[y^3, y, x*y^3, 1]'	4
353	'[x^2, y, x*y^3, 1]'	4
354	'[y^2, y, x*y^3, 1]'	4
355	'[x, y, x*y^3, 1]'	4
356	'[x^3, x*y, x*y^3, 1]'	4
357	'[y^3, x*y, x*y^3, 1]'	4
358	'[x^2, x*y, x*y^3, 1]'	4
359	'[y^2, x*y, x*y^3, 1]'	4
360	'[x, x*y, x*y^3, 1]'	4
361	'[y, x*y, x*y^3, 1]'	4
362	'[x^3, x^2*y^2, x*y^3, 1]'	4
363	'[y^3, x^2*y^2, x*y^3, 1]'	4
364	'[x^2, x^2*y^2, x*y^3, 1]'	4
365	'[y^2, x^2*y^2, x*y^3, 1]'	4
366	'[x, x^2*y^2, x*y^3, 1]'	4
367	'[y, x^2*y^2, x*y^3, 1]'	4
368	'[x*y, x^2*y^2, x*y^3, 1]'	4
369	'[x^3, x^3*y^3, x*y^3, 1]'	4
370	'[y^3, x^3*y^3, x*y^3, 1]'	4
371	'[x^2, x^3*y^3, x*y^3, 1]'	4
372	'[y^2, x^3*y^3, x*y^3, 1]'	4
373	'[x, x^3*y^3, x*y^3, 1]'	4
374	'[y, x^3*y^3, x*y^3, 1]'	4
375	'[x*y, x^3*y^3, x*y^3, 1]'	4
376	'[x^2*y^2, x^3*y^3, x*y^3, 1]'	4
377	'[x^3, x^2*y, x*y^3, 1]'	4
378	'[y^3, x^2*y, x*y^3, 1]'	4
379	'[x^2, x^2*y, x*y^3, 1]'	4
380	'[y^2, x^2*y, x*y^3, 1]'	4
381	'[x, x^2*y, x*y^3, 1]'	4
382	'[y, x^2*y, x*y^3, 1]'	4
383	'[x*y, x^2*y, x*y^3, 1]'	4
384	'[x^2*y^2, x^2*y, x*y^3, 1]'	4
385	'[x^3*y^3, x^2*y, x*y^3, 1]'	4
386	'[x^3, x^3*y, x*y^3, 1]'	4
387	'[y^3, x^3*y, x*y^3, 1]'	4
388	'[x^2, x^3*y, x*y^3, 1]'	4
389	'[y^2, x^3*y, x*y^3, 1]'	4
390	'[x, x^3*y, x*y^3, 1]'	4
391	'[y, x^3*y, x*y^3, 1]'	4
392	'[x*y, x^3*y, x*y^3, 1]'	4
393	'[x^2*y^2, x^3*y, x*y^3, 1]'	4
394	'[x^3*y^3, x^3*y, x*y^3, 1]'	4
395	'[x^2*y, x^3*y, x*y^3, 1]'	4
396	'[x^3, x*y^2, x*y^3, 1]'	4
397	'[y^3, x*y^2, x*y^3, 1]'	4
398	'[x^2, x*y^2, x*y^3, 1]'	4
399	'[y^2, x*y^2, x*y^3, 1]'	4
400	'[x, x*y^2, x*y^3, 1]'	4
401	'[y, x*y^2, x*y^3, 1]'	4
402	'[x*y, x*y^2, x*y^3, 1]'	4
403	'[x^2*y^2, x*y^2, x*y^3, 1]'	4
404	'[x^3*y^3, x*y^2, x*y^3, 1]'	4
405	'[x^2*y, x*y^2, x*y^3, 1]'	4
406	'[x^3*y, x*y^2, x*y^3, 1]'	4
407	'[x^3, y^3, x^2*y^3, 1]'	4
408	'[x^3, x^2, x^2*y^3, 1]'	4
409	'[y^3, x^2, x^2*y^3, 1]'	4
410	'[x^3, y^2, x^2*y^3, 1]'	4
411	'[y^3, y^2, x^2*y^3, 1]'	4
412	'[x^2, y^2, x^2*y^3, 1]'	4
413	'[x^3, x, x^2*y^3, 1]'	4
414	'[y^3, x, x^2*y^3, 1]'	4
415	'[x^2, x, x^2*y^3, 1]'	4
416	'[y^2, x, x^2*y^3, 1]'	4
417	'[x^3, y, x^2*y^3, 1]'	4
418	'[y^3, y, x^2*y^3, 1]'	4
419	'[x^2, y, x^2*y^3, 1]'	4
420	'[y^2, y, x^2*y^3, 1]'	4
421	'[x, y, x^2*y^3, 1]'	4
422	'[x^3, x*y, x^2*y^3, 1]'	4
423	'[y^3, x*y, x^2*y^3, 1]'	4
424	'[x^2, x*y, x^2*y^3, 1]'	4
425	'[y^2, x*y, x^2*y^3, 1]'	4
426	'[x, x*y, x^2*y^3, 1]'	4
427	'[y, x*y, x^2*y^3, 1]'	4
428	'[x^3, x^2*y^2, x^2*y^3, 1]'	4
429	'[y^3, x^2*y^2, x^2*y^3, 1]'	4
430	'[x^2, x^2*y^2, x^2*y^3, 1]'	4
431	'[y^2, x^2*y^2, x^2*y^3, 1]'	4
432	'[x, x^2*y^2, x^2*y^3, 1]'	4
433	'[y, x^2*y^2, x^2*y^3, 1]'	4
434	'[x*y, x^2*y^2, x^2*y^3, 1]'	4
435	'[x^3, x^3*y^3, x^2*y^3, 1]'	4
436	'[y^3, x^3*y^3, x^2*y^3, 1]'	4
437	'[x^2, x^3*y^3, x^2*y^3, 1]'	4
438	'[y^2, x^3*y^3, x^2*y^3, 1]'	4
439	'[x, x^3*y^3, x^2*y^3, 1]'	4
440	'[y, x^3*y^3, x^2*y^3, 1]'	4
441	'[x*y, x^3*y^3, x^2*y^3, 1]'	4
442	'[x^2*y^2, x^3*y^3, x^2*y^3, 1]'	4
443	'[x^3, x^2*y, x^2*y^3, 1]'	4
444	'[y^3, x^2*y, x^2*y^3, 1]'	4
445	'[x^2, x^2*y, x^2*y^3, 1]'	4
446	'[y^2, x^2*y, x^2*y^3, 1]'	4
447	'[x, x^2*y, x^2*y^3, 1]'	4
448	'[y, x^2*y, x^2*y^3, 1]'	4
449	'[x*y, x^2*y, x^2*y^3, 1]'	4
450	'[x^2*y^2, x^2*y, x^2*y^3, 1]'	4
451	'[x^3*y^3, x^2*y, x^2*y^3, 1]'	4
452	'[x^3, x^3*y, x^2*y^3, 1]'	4
453	'[y^3, x^3*y, x^2*y^3, 1]'	4
454	'[x^2, x^3*y, x^2*y^3, 1]'	4
455	'[y^2, x^3*y, x^2*y^3, 1]'	4
456	'[x, x^3*y, x^2*y^3, 1]'	4
457	'[y, x^3*y, x^2*y^3, 1]'	4
458	'[x*y, x^3*y, x^2*y^3, 1]'	4
459	'[x^2*y^2, x^3*y, x^2*y^3, 1]'	4
460	'[x^3*y^3, x^3*y, x^2*y^3, 1]'	4
