Participant,x,y,x0,y0,CalPoint
7,640,220,865,263,2
7,640,220,858,271,2
7,640,220,857,257,2
7,640,220,863,261,2
7,640,220,864,259,2
7,640,220,861,264,2
7,640,220,857,263,2
7,640,220,851,265,2
7,640,220,851,266,2
7,640,220,852,271,2
7,640,220,857,269,2
7,640,220,856,270,2
7,640,220,855,269,2
7,640,220,860,269,2
7,640,220,860,266,2
7,640,220,858,262,2
7,640,220,862,268,2
7,640,220,857,267,2
7,640,220,860,279,2
7,640,220,863,277,2
7,640,220,855,281,2
7,640,220,858,273,2
7,640,220,860,274,2
7,640,220,860,277,2
7,640,220,861,284,2
7,640,220,854,283,2
7,640,220,864,272,2
7,640,220,859,283,2
7,640,220,868,276,2
7,640,220,862,277,2
7,640,220,860,275,2
7,640,220,859,274,2
7,640,220,863,264,2
7,640,220,857,272,2
7,640,220,855,272,2
7,640,220,852,274,2
7,640,220,857,270,2
7,640,220,854,274,2
7,640,220,854,284,2
7,640,220,860,276,2
7,640,220,855,282,2
7,640,220,862,289,2
7,640,220,860,278,2
7,640,220,860,286,2
7,640,220,857,283,2
7,640,220,853,288,2
7,640,220,855,281,2
7,640,220,849,276,2
7,640,220,855,287,2
7,640,220,858,293,2
7,640,220,849,281,2
7,640,220,853,282,2
7,640,220,847,282,2
7,640,220,845,286,2
7,640,220,846,290,2
7,640,220,848,295,2
7,640,220,848,285,2
7,640,220,850,287,2
7,640,220,851,292,2
7,640,220,850,291,2
7,640,220,853,286,2
7,640,220,856,280,2
7,640,220,845,294,2
7,640,220,845,281,2
7,640,220,850,291,2
7,640,220,853,293,2
7,640,220,847,288,2
7,640,220,844,282,2
7,640,220,852,285,2
7,640,220,850,290,2
7,640,220,852,288,2
7,640,220,857,295,2
7,640,220,852,294,2
7,640,220,853,291,2
7,640,220,853,294,2
7,640,220,848,287,2
7,640,220,845,285,2
7,640,220,851,287,2
7,640,220,851,286,2
7,640,220,849,290,2
7,640,220,846,286,2
7,640,220,850,290,2
7,640,220,850,293,2
7,640,220,851,287,2
7,640,220,850,289,2
7,640,220,856,292,2
7,640,220,855,291,2
7,640,220,852,287,2
7,640,220,859,290,2
7,640,220,859,286,2
7,640,220,857,289,2
7,640,220,917,291,2
7,640,220,912,288,2
7,640,220,906,286,2
7,640,220,910,283,2
7,640,220,912,284,2
7,640,220,911,287,2
7,640,220,918,295,2
7,640,220,921,299,2
7,640,220,919,286,2
7,640,220,920,291,2
7,640,220,921,291,2
7,640,525,925,287,5
7,640,525,917,291,5
7,640,525,920,292,5
7,640,525,921,298,5
7,640,525,917,297,5
7,640,525,869,456,5
7,640,525,873,455,5
7,640,525,870,456,5
7,640,525,869,453,5
7,640,525,872,453,5
7,640,525,878,458,5
7,640,525,860,538,5
7,640,525,851,539,5
7,640,525,855,543,5
7,640,525,849,543,5
7,640,525,857,543,5
7,640,525,856,540,5
7,640,525,854,540,5
7,640,525,845,540,5
7,640,525,845,543,5
7,640,525,845,541,5
7,640,525,846,545,5
7,640,525,847,545,5
7,640,525,846,548,5
7,640,525,842,547,5
7,640,525,847,543,5
7,640,525,840,552,5
7,640,525,836,548,5
7,640,525,837,546,5
7,640,525,840,557,5
7,640,525,847,548,5
7,640,525,847,546,5
7,640,525,846,552,5
7,640,525,848,550,5
7,640,525,844,553,5
7,640,525,842,555,5
7,640,525,849,548,5
7,640,525,842,550,5
7,640,525,843,546,5
7,640,525,846,554,5
7,640,525,843,554,5
7,640,525,845,551,5
7,640,525,846,550,5
7,640,525,851,549,5
7,640,525,843,553,5
7,640,525,846,553,5
7,640,525,849,548,5
7,640,525,851,549,5
7,640,525,847,553,5
7,640,525,853,548,5
7,640,525,838,547,5
7,640,525,845,550,5
7,640,525,847,553,5
7,640,525,851,541,5
7,640,525,845,543,5
7,640,525,845,540,5
7,640,525,846,550,5
7,640,525,843,550,5
7,640,525,851,539,5
7,640,525,845,538,5
7,640,525,852,543,5
7,640,525,848,539,5
7,640,525,853,535,5
7,640,525,847,539,5
7,640,525,842,540,5
7,640,525,845,536,5
7,640,525,839,543,5
7,640,525,845,542,5
7,640,525,847,539,5
7,640,525,846,542,5
7,640,525,843,536,5
7,640,525,847,538,5
7,640,525,844,540,5
7,640,525,841,541,5
7,640,525,842,538,5
7,640,525,843,541,5
7,640,525,844,543,5
7,640,525,841,539,5
7,640,525,841,538,5
7,640,525,841,536,5
7,640,525,842,538,5
7,640,525,840,540,5
7,640,525,840,541,5
7,640,525,848,537,5
7,640,525,843,539,5
7,640,525,838,537,5
7,640,525,833,540,5
7,640,525,842,541,5
7,640,525,842,536,5
7,640,525,839,542,5
7,640,525,836,537,5
7,640,525,837,546,5
7,640,525,834,542,5
7,640,525,832,550,5
7,640,525,832,552,5
7,640,525,824,553,5
7,640,525,832,546,5
7,640,525,828,549,5
7,640,525,826,547,5
7,640,525,826,550,5
7,640,525,832,550,5
7,640,525,829,551,5
7,640,525,825,547,5
7,640,525,825,543,5
7,640,525,824,547,5
7,640,525,828,544,5
7,640,525,832,535,5
7,640,525,823,541,5
7,640,525,824,544,5
7,640,525,826,539,5
7,640,525,827,549,5
7,640,525,822,543,5
7,640,525,817,541,5
7,640,525,823,544,5
7,640,525,821,543,5
7,640,525,818,542,5
7,640,525,821,545,5
7,640,525,822,545,5
7,640,525,820,544,5
7,640,525,822,538,5
7,640,525,821,546,5
7,640,525,817,548,5
7,640,525,826,539,5
7,640,525,820,541,5
7,640,525,821,547,5
7,640,525,815,543,5
7,640,525,818,543,5
7,640,525,816,543,5
7,640,525,817,549,5
